10135,,,,,,,2015,10,1,4,DL,2561,N929AT,10397,0600,0554,-6,11,0605,128,124,108,692,0753,5,0808,0758,-10,0,0,,,,,,	
10135,,,,,,,2015,10,1,4,EV,5033,N867AS,10397,1200,1154,-6,14,1208,130,146,124,692,1412,8,1410,1420,10,0,0,,,,,,	
10135,,,,,,,2015,10,1,4,EV,5144,N927EV,11433,0600,0556,-4,11,0607,104,88,75,425,0722,2,0744,0724,-20,0,0,,,,,,	
10135,,,,,,,2015,10,1,4,EV,5145,N849AS,11433,1711,1711,0,17,1728,102,103,77,425,1845,9,1853,1854,1,0,0,,,,,,	
10135,,,,,,,2015,10,1,4,EV,5175,N851AS,11433,1255,1248,-7,12,1300,103,100,77,425,1417,11,1438,1428,-10,0,0,,,,,,	
10135,,,,,,,2015,10,1,4,EV,5317,N858AS,10397,1600,1555,-5,12,1607,128,132,114,692,1801,6,1808,1807,-1,0,0,,,,,,	
10135,,,,,,,2015,10,1,4,EV,6011,N12996,13930,1205,1157,-8,15,1212,130,135,103,655,1255,17,1315,1312,-3,0,0,,,,,,	
10135,,,,,,,2015,10,1,4,EV,6021,N13975,13930,0649,0646,-3,17,0703,128,132,102,655,0745,13,0757,0758,1,0,0,,,,,,	
10135,,,,,,,2015,10,1,4,EV,6144,N11551,13930,1722,1726,4,11,1737,128,136,115,655,1832,10,1830,1842,12,0,0,,,,,,	
10135,,,,,,,2015,10,10,6,DL,1076,N967AT,10397,0650,0649,-1,22,0711,131,127,100,692,0851,5,0901,0856,-5,0,0,,,,,,
