YUM,,,,,,,2015,9,8,2,OO,2948,N506CA,PHX,1155,1249,54,29,1318,60,71,35,160,1353,7,1255,1400,65,0,0,,11,0,0,54,0	
YUM,,,,,,,2015,9,8,2,OO,2957,N496CA,PHX,1505,1450,-15,13,1503,54,66,40,160,1543,13,1559,1556,-3,0,0,,,,,,	
YUM,,,,,,,2015,9,8,2,OO,2968,N886AS,PHX,0700,,,,,55,,,160,,,0755,,,0,1,A,,,,,	
YUM,,,,,,,2015,9,8,2,OO,2989,N907SW,PHX,1030,1040,10,14,1054,54,51,31,160,1125,6,1124,1131,7,0,0,,,,,,	
YUM,,,,,,,2015,9,8,2,OO,2990,N821AS,PHX,0845,0837,-8,12,0849,53,55,32,160,0921,11,0938,0932,-6,0,0,,,,,,	
YUM,,,,,,,2015,9,9,3,OO,2948,N468CA,PHX,1155,1151,-4,12,1203,53,58,36,160,1239,10,1248,1249,1,0,0,,,,,,	
YUM,,,,,,,2015,9,9,3,OO,2956,N506CA,PHX,1505,1458,-7,15,1513,53,59,38,160,1551,6,1558,1557,-1,0,0,,,,,,	
YUM,,,,,,,2015,9,9,3,OO,2963,N506CA,PHX,1800,1800,0,13,1813,67,61,38,160,1851,10,1907,1901,-6,0,0,,,,,,	
YUM,,,,,,,2015,9,9,3,OO,2968,N889AS,PHX,0700,,,,,59,,,160,,,0759,,,0,1,B,,,,,	
YUM,,,,,,,2015,9,9,3,OO,2991,N885AS,PHX,1030,1023,-7,20,1043,52,64,36,160,1119,8,1122,1127,5,0,0,,,,,,	
